text	domain	intent	target
play some piano music.	MEDIACONTROL	play_media	media control. play media
set an alarm for 6:15 tomorrow.	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
turn on the family room light.	HOMEAUTOMATION	turn_on	home automation. turn on
please stop playing music.	MEDIACONTROL	stop	media control. stop
turn on fan.	HOMEAUTOMATION	turn_on	home automation. turn on
media control. play media	MEDIACONTROL	play_media	media control. play media
play kfbk radio.	MEDIACONTROL	play_media	media control. play media
play the immigrant song.	MEDIACONTROL	play_media	media control. play media
play rage against the machine.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
play q 104.3.	MEDIACONTROL	play_media	media control. play media
media control. repeat	MEDIACONTROL	repeat	media control. repeat
play new addition.	MEDIACONTROL	play_media	media control. play media
on device. pair device	ONDEVICE	pair_device	on device. pair device
play Motley Crue.	MEDIACONTROL	play_media	media control. play media
no cortana.	OTHER	other	other. other
stop playing christmas music.	MEDIACONTROL	stop	media control. stop
turn on bathroom light.	HOMEAUTOMATION	turn_on	home automation. turn on
media control. resume	MEDIACONTROL	resume	media control. resume
play folk music.	MEDIACONTROL	play_media	media control. play media
eyes.	OTHER	other	other. other
play classical highlights.	MEDIACONTROL	play_media	media control. play media
play workout.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
what day is it today?	OTHER	other	other. other
play deep house relax on spotify.	MEDIACONTROL	play_media	media control. play media
play wbls.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
don't know.	OTHER	other	other. other
weather. weather default	WEATHER	weather_default	weather. weather default
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
what's my next reminder?	REMINDER	find_reminder	reminder. find reminder
play hillsong.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
calendar. find calendar when	CALENDAR	find_calendar_when	calendar. find calendar when
what should i have for dinner?	OTHER	other	other. other
disable alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
set up a timer for 5 minutes.	ALARM	set_timer	alarm. set timer
call karen dora.	COMMUNICATION	make_call	communication. make call
what time is it in india?	OTHER	other	other. other
calendar. find calendar entry	CALENDAR	find_calendar_entry	calendar. find calendar entry
i read it.	OTHER	other	other. other
home automation. turn on	HOMEAUTOMATION	turn_on	home automation. turn on
play philip glass.	MEDIACONTROL	play_media	media control. play media
play leonard cohen.	MEDIACONTROL	play_media	media control. play media
communication. make call	COMMUNICATION	make_call	communication. make call
play last Christmas by wham.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
can you set a timer for 15 minutes?	ALARM	set_timer	alarm. set timer
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
call Nancy.	COMMUNICATION	make_call	communication. make call
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
turn the kitchen light on.	HOMEAUTOMATION	turn_on	home automation. turn on
turn off cortana.	ONDEVICE	close_application	on device. close application
play broadway playlist on spotify.	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
do i have any new emails?	EMAIL	search_email	email. search email
set up an alarm at 4 pm.	ALARM	set_alarm	alarm. set alarm
wake me up at 2.	ALARM	set_alarm	alarm. set alarm
play disney music on spotify.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
set an alarm for 12 noon.	ALARM	set_alarm	alarm. set alarm
other. other	OTHER	other	other. other
home automation. turn up	HOMEAUTOMATION	turn_up	home automation. turn up
alarm. set timer	ALARM	set_timer	alarm. set timer
who's your father?	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
common. stop	COMMON	stop	common. stop
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
other. other	OTHER	other	other. other
give me a 10 minute timer.	ALARM	set_timer	alarm. set timer
play bolero.	MEDIACONTROL	play_media	media control. play media
alarm. set timer	ALARM	set_timer	alarm. set timer
weather. weather default	WEATHER	weather_default	weather. weather default
skip ad.	OTHER	other	other. other
other. other	OTHER	other	other. other
shut down the alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
media control. volume down	MEDIACONTROL	volume_down	media control. volume down
play wcpe.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. resume	MEDIACONTROL	resume	media control. resume
alarm. set timer	ALARM	set_timer	alarm. set timer
media control. volume down	MEDIACONTROL	volume_down	media control. volume down
play rain sounds.	MEDIACONTROL	play_media	media control. play media
set volume to 60%.	MEDIACONTROL	set_volume	media control. set volume
wake me up at 6:20.	ALARM	set_alarm	alarm. set alarm
can you stop music?	MEDIACONTROL	stop	media control. stop
weather. weather default	WEATHER	weather_default	weather. weather default
media control. play media	MEDIACONTROL	play_media	media control. play media
play christmas classics on spotify.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
do i need a jacket today?	WEATHER	weather_default	weather. weather default
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
home automation. turn on	HOMEAUTOMATION	turn_on	home automation. turn on
set alarm for 2 hours.	ALARM	set_alarm	alarm. set alarm
other. other	OTHER	other	other. other
are you awake?	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
create a shopping list.	NOTE	create_note	note. create note
set volume at 40%.	MEDIACONTROL	set_volume	media control. set volume
note. add to note	NOTE	add_to_note	note. add to note
play the weekend.	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
play yoga sanctuary music.	MEDIACONTROL	play_media	media control. play media
play 97.1 the ticket.	MEDIACONTROL	play_media	media control. play media
how is weather tomorrow?	WEATHER	weather_default	weather. weather default
set the temperature to 70 degrees.	HOMEAUTOMATION	set_device	home automation. set device
what's traffic like to work?	PLACES	places_default	places. places default
my wife.	OTHER	other	other. other
other. other	OTHER	other	other. other
play songs by beck on spotify.	MEDIACONTROL	play_media	media control. play media
alarm. time remaining	ALARM	time_remaining	alarm. time remaining
set an alarm for 6:30 PM.	ALARM	set_alarm	alarm. set alarm
flag.	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
turn kitchen lights on.	HOMEAUTOMATION	turn_on	home automation. turn on
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. volume down	MEDIACONTROL	volume_down	media control. volume down
set timer for 55 minutes.	ALARM	set_timer	alarm. set timer
turn master bedroom lights on.	HOMEAUTOMATION	turn_on	home automation. turn on
stop all alarms.	ALARM	turn_off_alarm	alarm. turn off alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
home automation. turn on	HOMEAUTOMATION	turn_on	home automation. turn on
what's the weather for this week?	WEATHER	weather_default	weather. weather default
play z100.	MEDIACONTROL	play_media	media control. play media
on device. open setting	ONDEVICE	open_setting	on device. open setting
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
other. other	OTHER	other	other. other
other. other	OTHER	other	other. other
weather. weather default	WEATHER	weather_default	weather. weather default
media control. play media	MEDIACONTROL	play_media	media control. play media
turn on living room light 2.	HOMEAUTOMATION	turn_on	home automation. turn on
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
on device. power off	ONDEVICE	power_off	on device. power off
media control. play media	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
turn on pop music.	MEDIACONTROL	play_media	media control. play media
snooze for 30 minutes.	ALARM	snooze	alarm. snooze
play wqxr - fm.	MEDIACONTROL	play_media	media control. play media
play ymca.	MEDIACONTROL	play_media	media control. play media
play christmas list.	MEDIACONTROL	play_media	media control. play media
how is your day today?	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
what is the forecast for tomorrow?	WEATHER	weather_default	weather. weather default
play kuow radio.	MEDIACONTROL	play_media	media control. play media
media control. volume up	MEDIACONTROL	volume_up	media control. volume up
media control. play media	MEDIACONTROL	play_media	media control. play media
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
other. other	OTHER	other	other. other
what time is the super bowl?	OTHER	other	other. other
other. other	OTHER	other	other. other
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
play september by earth wind and fire.	MEDIACONTROL	play_media	media control. play media
play pick it up by famous dex.	MEDIACONTROL	play_media	media control. play media
turn on living room.	HOMEAUTOMATION	turn_on	home automation. turn on
home automation. turn on	HOMEAUTOMATION	turn_on	home automation. turn on
media control. play media	MEDIACONTROL	play_media	media control. play media
set my alarm for 10 o'clock.	ALARM	set_alarm	alarm. set alarm
what's next in my calendar?	CALENDAR	find_calendar_entry	calendar. find calendar entry
play stir fry by migos.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
hi cortana.	OTHER	other	other. other
ask fitbit how many steps i've taken today.	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
set a timer for 30 seconds.	ALARM	set_timer	alarm. set timer
home automation. turn up	HOMEAUTOMATION	turn_up	home automation. turn up
resume playback.	MEDIACONTROL	resume	media control. resume
what will the weather be today?	WEATHER	weather_default	weather. weather default
play some jay-z.	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
on device. switch application	ONDEVICE	switch_application	on device. switch application
play some coffee shop music.	MEDIACONTROL	play_media	media control. play media
wake me up at 7:15.	ALARM	set_alarm	alarm. set alarm
set an alarm for 20 minutes from now.	ALARM	set_alarm	alarm. set alarm
play iheartchristmas music.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
web navigation. navigate web	WEBNAVIGATION	navigate_web	web navigation. navigate web
turn up the den light.	HOMEAUTOMATION	turn_up	home automation. turn up
set volume to 9.	MEDIACONTROL	set_volume	media control. set volume
media control. play media	MEDIACONTROL	play_media	media control. play media
play soulful christmas music.	MEDIACONTROL	play_media	media control. play media
alarm. set timer	ALARM	set_timer	alarm. set timer
play some kenny chesney.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
how much is it going?	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
play ray la montagne.	MEDIACONTROL	play_media	media control. play media
fire.	OTHER	other	other. other
set an alarm for 9:45.	ALARM	set_alarm	alarm. set alarm
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
can you turn the music down?	MEDIACONTROL	volume_down	media control. volume down
on device. power off	ONDEVICE	power_off	on device. power off
play uptown funk.	MEDIACONTROL	play_media	media control. play media
media control. volume down	MEDIACONTROL	volume_down	media control. volume down
turn off the alarms.	ALARM	turn_off_alarm	alarm. turn off alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
pause music please.	MEDIACONTROL	pause	media control. pause
set lights to 50%.	HOMEAUTOMATION	set_device	home automation. set device
what's the temperature in scottsdale arizona?	WEATHER	weather_default	weather. weather default
media control. play media	MEDIACONTROL	play_media	media control. play media
Tomorrow's weather.	WEATHER	weather_default	weather. weather default
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. volume up	MEDIACONTROL	volume_up	media control. volume up
times.	OTHER	other	other. other
media control. volume up	MEDIACONTROL	volume_up	media control. volume up
calendar. find calendar entry	CALENDAR	find_calendar_entry	calendar. find calendar entry
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
set an alarm for 5:45 PM.	ALARM	set_alarm	alarm. set alarm
turn on my office lights.	HOMEAUTOMATION	turn_on	home automation. turn on
can you turn off please?	ONDEVICE	power_off	on device. power off
set the thermostat to 66.	HOMEAUTOMATION	set_device	home automation. set device
media control. play media	MEDIACONTROL	play_media	media control. play media
turn on Living room light.	HOMEAUTOMATION	turn_on	home automation. turn on
turn up the gaming light.	HOMEAUTOMATION	turn_up	home automation. turn up
say hello in chinese.	OTHERSKILL	otherskill_default	other skill. otherskill default
media control. play media	MEDIACONTROL	play_media	media control. play media
weather. weather default	WEATHER	weather_default	weather. weather default
play end game.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
play 97.3 FM.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. set volume	MEDIACONTROL	set_volume	media control. set volume
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
play my list.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
play music by j balvin.	MEDIACONTROL	play_media	media control. play media
media control. set volume	MEDIACONTROL	set_volume	media control. set volume
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
what's the traffic like?	PLACES	places_default	places. places default
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
what time is it in germany?	OTHER	other	other. other
media control. set volume	MEDIACONTROL	set_volume	media control. set volume
on device. power off	ONDEVICE	power_off	on device. power off
media control. play media	MEDIACONTROL	play_media	media control. play media
replay that.	MEDIACONTROL	repeat	media control. repeat
weather. weather default	WEATHER	weather_default	weather. weather default
play cedarmont kids.	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
alarm. set timer	ALARM	set_timer	alarm. set timer
other. other	OTHER	other	other. other
common. repeat	COMMON	repeat	common. repeat
on device. open application	ONDEVICE	open_application	on device. open application
play little big town.	MEDIACONTROL	play_media	media control. play media
play 69.	MEDIACONTROL	play_media	media control. play media
play some black sabbath.	MEDIACONTROL	play_media	media control. play media
what's my daily briefing?	COMMUNICATION	get_notifications	communication. get notifications
what's on my to do list today?	MYSTUFF	my_stuff_default	my stuff. my stuff default
media control. play media	MEDIACONTROL	play_media	media control. play media
play instrumental.	MEDIACONTROL	play_media	media control. play media
mexican music.	OTHER	other	other. other
can you play despacito?	MEDIACONTROL	play_media	media control. play media
how much wood could a woodchuck chuck if a woodchuck could chuck wood?	OTHER	other	other. other
alarm. turn off alarm	ALARM	turn_off_alarm	alarm. turn off alarm
play stevie wonder.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
home automation. turn on	HOMEAUTOMATION	turn_on	home automation. turn on
alarm. set timer	ALARM	set_timer	alarm. set timer
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
christian music.	MEDIACONTROL	play_media	media control. play media
question.	OTHER	other	other. other
play missy elliott.	MEDIACONTROL	play_media	media control. play media
cancel the timer.	ALARM	turn_off_timer	alarm. turn off timer
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
play 90.5 fm radio.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
who is this?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
play music by august alsina.	MEDIACONTROL	play_media	media control. play media
play Sarah Brightman.	MEDIACONTROL	play_media	media control. play media
ok google.	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
calendar. find calendar entry	CALENDAR	find_calendar_entry	calendar. find calendar entry
media control. stop	MEDIACONTROL	stop	media control. stop
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
you can turn it off.	ONDEVICE	power_off	on device. power off
lights.	OTHER	other	other. other
play 90s pop music.	MEDIACONTROL	play_media	media control. play media
play one.	MEDIACONTROL	play_media	media control. play media
media control. mute	MEDIACONTROL	mute	media control. mute
call Martin Jaimez.	COMMUNICATION	make_call	communication. make call
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
alarm. set timer	ALARM	set_timer	alarm. set timer
please be quiet.	COMMON	stop	common. stop
play the playlist.	MEDIACONTROL	play_media	media control. play media
play adam levine.	MEDIACONTROL	play_media	media control. play media
that's cool.	OTHER	other	other. other
what time is it in paris?	OTHER	other	other. other
play whitesnake.	MEDIACONTROL	play_media	media control. play media
set an alarm for 8:40.	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
play some john denver.	MEDIACONTROL	play_media	media control. play media
play joe cocker.	MEDIACONTROL	play_media	media control. play media
play duran duran.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
alarm. set timer	ALARM	set_timer	alarm. set timer
media control. skip forward	MEDIACONTROL	skip_forward	media control. skip forward
we.	OTHER	other	other. other
turn on the floor lamp.	HOMEAUTOMATION	turn_on	home automation. turn on
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
turn off my lights.	HOMEAUTOMATION	turn_off	home automation. turn off
alarm. set timer	ALARM	set_timer	alarm. set timer
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
play radio 9 telugu on tunein.	MEDIACONTROL	play_media	media control. play media
mcdonald's new 123 dollar menu.	OTHER	other	other. other
other. other	OTHER	other	other. other
media control. play media	MEDIACONTROL	play_media	media control. play media
play classical music on Spotify.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
dismiss timer.	ALARM	turn_off_timer	alarm. turn off timer
media control. play media	MEDIACONTROL	play_media	media control. play media
turn the heat up to 72.	HOMEAUTOMATION	turn_up	home automation. turn up
restaurants.	PLACES	places_default	places. places default
play highway to hell.	MEDIACONTROL	play_media	media control. play media
play love so soft.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
play raffi children's music.	MEDIACONTROL	play_media	media control. play media
play matt maher.	MEDIACONTROL	play_media	media control. play media
what's the high temperature today?	WEATHER	weather_default	weather. weather default
media control. stop	MEDIACONTROL	stop	media control. stop
play kitaro.	MEDIACONTROL	play_media	media control. play media
play taylor swift song.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
weather. weather default	WEATHER	weather_default	weather. weather default
wake me up at 9 am.	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
play songs from the greatest showman.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
power on.	OTHER	other	other. other
with you.	OTHER	other	other. other
home automation. set device	HOMEAUTOMATION	set_device	home automation. set device
weather. weather default	WEATHER	weather_default	weather. weather default
play music for me.	MEDIACONTROL	play_media	media control. play media
why are you on?	OTHER	other	other. other
play ty dolla sign.	MEDIACONTROL	play_media	media control. play media
this.	OTHER	other	other. other
weather. weather default	WEATHER	weather_default	weather. weather default
other. other	OTHER	other	other. other
how's it hanging?	OTHER	other	other. other
play some 90s rap.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
going on.	OTHER	other	other. other
who let the dogs out?	OTHER	other	other. other
note. create note	NOTE	create_note	note. create note
shut off the timer.	ALARM	turn_off_timer	alarm. turn off timer
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
shut off the alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
play r&b slow jams.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
note. add to note	NOTE	add_to_note	note. add to note
find.	OTHER	other	other. other
hey cortana next track.	MEDIACONTROL	skip_forward	media control. skip forward
play don't stop me now by queen.	MEDIACONTROL	play_media	media control. play media
what is the weather like outside?	WEATHER	weather_default	weather. weather default
other. other	OTHER	other	other. other
play me some jazz.	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
turn off the living room lamp.	HOMEAUTOMATION	turn_off	home automation. turn off
turn off giraffe.	MEDIACONTROL	stop	media control. stop
today's forecast.	WEATHER	weather_default	weather. weather default
media control. stop	MEDIACONTROL	stop	media control. stop
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play news	MEDIACONTROL	play_news	media control. play news
play nelly on iheartradio.	MEDIACONTROL	play_media	media control. play media
skip 2 songs.	MEDIACONTROL	skip_forward	media control. skip forward
set an alarm for 6:50.	ALARM	set_alarm	alarm. set alarm
play y 100.	MEDIACONTROL	play_media	media control. play media
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
play top hits music.	MEDIACONTROL	play_media	media control. play media
