text	domain	intent	target
stop the timer.	ALARM	turn_off_timer	alarm. turn off timer
how much time is left on the timer?	ALARM	time_remaining	alarm. time remaining
shut off.	ONDEVICE	power_off	on device. power off
set a timer for 15 minutes.	ALARM	set_timer	alarm. set timer
cortana.	ONDEVICE	open_application	on device. open application
start.	OTHER	other	other. other
stop alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
set a timer for 2 minutes.	ALARM	set_timer	alarm. set timer
play smooth jazz.	MEDIACONTROL	play_media	media control. play media
what's the weather like tomorrow?	WEATHER	weather_default	weather. weather default
turn it off.	ONDEVICE	power_off	on device. power off
hello.	OTHER	other	other. other
lower the volume.	MEDIACONTROL	volume_down	media control. volume down
set a timer for 20 minutes.	ALARM	set_timer	alarm. set timer
what is the weather right now	WEATHER	weather_default	weather. weather default
what's the news?	OTHER	other	other. other
turn up the music.	MEDIACONTROL	volume_up	media control. volume up
turn down the volume.	MEDIACONTROL	volume_down	media control. volume down
turn on Bluetooth.	ONDEVICE	turn_on_setting	on device. turn on setting
turn on.	ONDEVICE	ondevice_other	on device. ondevice other
weather.	WEATHER	weather_default	weather. weather default
turn up.	MEDIACONTROL	volume_up	media control. volume up
continue.	MEDIACONTROL	resume	media control. resume
cancel alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
what's the weather for tomorrow?	WEATHER	weather_default	weather. weather default
what are you doing?	OTHER	other	other. other
turn the volume down.	MEDIACONTROL	volume_down	media control. volume down
stop the alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
how much time is left?	ALARM	time_remaining	alarm. time remaining
play 80s music.	MEDIACONTROL	play_media	media control. play media
thank you.	OTHER	other	other. other
what's the temperature right now?	WEATHER	weather_default	weather. weather default
play jazz.	MEDIACONTROL	play_media	media control. play media
set a timer for 30 minutes.	ALARM	set_timer	alarm. set timer
play my music.	MEDIACONTROL	play_media	media control. play media
turn off all lights.	HOMEAUTOMATION	turn_off	home automation. turn off
what's the weather like outside?	WEATHER	weather_default	weather. weather default
turn on lights.	HOMEAUTOMATION	turn_on	home automation. turn on
what's the weather for today?	WEATHER	weather_default	weather. weather default
play some jazz.	MEDIACONTROL	play_media	media control. play media
play iHeartRadio.	MEDIACONTROL	play_media	media control. play media
turn off the timer.	ALARM	turn_off_timer	alarm. turn off timer
what's the current temperature?	WEATHER	weather_default	weather. weather default
never mind.	COMMON	cancel	common. cancel
how's the weather?	WEATHER	weather_default	weather. weather default
turn music off.	MEDIACONTROL	stop	media control. stop
tell me something interesting.	OTHER	other	other. other
yeah.	COMMON	confirm	common. confirm
what's the temperature today?	WEATHER	weather_default	weather. weather default
play next.	MEDIACONTROL	skip_forward	media control. skip forward
turn off living room.	HOMEAUTOMATION	turn_off	home automation. turn off
hi.	OTHER	other	other. other
turn the volume up.	MEDIACONTROL	volume_up	media control. volume up
play some.	MEDIACONTROL	play_media	media control. play media
resume Spotify.	MEDIACONTROL	resume	media control. resume
play ed sheeran.	MEDIACONTROL	play_media	media control. play media
ask.	OTHER	other	other. other
be quiet.	COMMON	stop	common. stop
turn off all the lights.	HOMEAUTOMATION	turn_off	home automation. turn off
what's the forecast?	WEATHER	weather_default	weather. weather default
play classic rock.	MEDIACONTROL	play_media	media control. play media
set a timer for 3 minutes.	ALARM	set_timer	alarm. set timer
what's the forecast for today?	WEATHER	weather_default	weather. weather default
play pop music.	MEDIACONTROL	play_media	media control. play media
what's the forecast for tomorrow?	WEATHER	weather_default	weather. weather default
turn down.	MEDIACONTROL	volume_down	media control. volume down
music off.	MEDIACONTROL	stop	media control. stop
hang up.	COMMUNICATION	end_call	communication. end call
how much time is left on my timer?	ALARM	time_remaining	alarm. time remaining
cancel timer.	ALARM	turn_off_timer	alarm. turn off timer
turn on living room.	HOMEAUTOMATION	turn_on	home automation. turn on
turn off bedroom.	HOMEAUTOMATION	turn_off	home automation. turn off
what is the weather today?	WEATHER	weather_default	weather. weather default
turn off bedroom light.	HOMEAUTOMATION	turn_off	home automation. turn off
go to sleep.	ONDEVICE	sleep	on device. sleep
turn off my alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
set timer for 5 minutes.	ALARM	set_timer	alarm. set timer
alarm off.	ALARM	turn_off_alarm	alarm. turn off alarm
play some classical music.	MEDIACONTROL	play_media	media control. play media
mute.	MEDIACONTROL	mute	media control. mute
pair bluetooth.	ONDEVICE	pair_device	on device. pair device
turn off timer.	ALARM	turn_off_timer	alarm. turn off timer
sing a song.	OTHER	other	other. other
turn the lights off.	HOMEAUTOMATION	turn_off	home automation. turn off
set a timer for one minute.	ALARM	set_timer	alarm. set timer
set timer for 10 minutes.	ALARM	set_timer	alarm. set timer
what is the temperature outside?	WEATHER	weather_default	weather. weather default
play the news.	MEDIACONTROL	play_news	media control. play news
louder.	MEDIACONTROL	volume_up	media control. volume up
lights off.	HOMEAUTOMATION	turn_off	home automation. turn off
set an alarm for 7 am.	ALARM	set_alarm	alarm. set alarm
connect to bluetooth.	ONDEVICE	pair_device	on device. pair device
turn on living room lights.	HOMEAUTOMATION	turn_on	home automation. turn on
change the song.	MEDIACONTROL	skip_forward	media control. skip forward
lower volume.	MEDIACONTROL	volume_down	media control. volume down
what is the temperature?	WEATHER	weather_default	weather. weather default
how are you today?	OTHER	other	other. other
turn on the living room lights.	HOMEAUTOMATION	turn_on	home automation. turn on
turn off the living room lights.	HOMEAUTOMATION	turn_off	home automation. turn off
play jazz music.	MEDIACONTROL	play_media	media control. play media
turn on bedroom.	HOMEAUTOMATION	turn_on	home automation. turn on
set an alarm for 6 am.	ALARM	set_alarm	alarm. set alarm
play KUOW.	MEDIACONTROL	play_media	media control. play media
how cold is it outside?	WEATHER	check_weather	weather. check weather
what's the weather forecast?	WEATHER	weather_default	weather. weather default
what's my name?	OTHER	other	other. other
how's the weather today?	WEATHER	weather_default	weather. weather default
what's the weather gonna be like tomorrow?	WEATHER	weather_default	weather. weather default
play christian music.	MEDIACONTROL	play_media	media control. play media
tell us a joke.	OTHER	other	other. other
play the music.	MEDIACONTROL	play_media	media control. play media
set an alarm for 8 am.	ALARM	set_alarm	alarm. set alarm
what's the weather gonna be like today?	WEATHER	weather_default	weather. weather default
next song please.	MEDIACONTROL	skip_forward	media control. skip forward
who is this?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
hey cortana stop.	COMMON	stop	common. stop
hey.	OTHER	other	other. other
Lights on.	HOMEAUTOMATION	turn_on	home automation. turn on
connect Bluetooth.	ONDEVICE	turn_on_setting	on device. turn on setting
set alarm for 6 am.	ALARM	set_alarm	alarm. set alarm
turn off living room lights.	HOMEAUTOMATION	turn_off	home automation. turn off
bluetooth.	ONDEVICE	open_setting	on device. open setting
time is it.	OTHER	other	other. other
set a timer for 4 minutes.	ALARM	set_timer	alarm. set timer
wake me up at 6 am.	ALARM	set_alarm	alarm. set alarm
set timer for 15 minutes.	ALARM	set_timer	alarm. set timer
skip the song.	MEDIACONTROL	skip_forward	media control. skip forward
read it.	OTHER	other	other. other
resume playing.	MEDIACONTROL	resume	media control. resume
what's today's date?	OTHER	other	other. other
sing me a song.	OTHER	other	other. other
turn the lights on.	HOMEAUTOMATION	turn_on	home automation. turn on
play Havana.	MEDIACONTROL	play_media	media control. play media
turn off the bedroom light.	HOMEAUTOMATION	turn_off	home automation. turn off
what is the weather?	WEATHER	weather_default	weather. weather default
play music on spotify.	MEDIACONTROL	play_media	media control. play media
i love you.	OTHER	other	other. other
increase volume.	MEDIACONTROL	volume_up	media control. volume up
stop listening.	COMMON	stop	common. stop
ok.	COMMON	confirm	common. confirm
turn on bedroom light.	HOMEAUTOMATION	turn_on	home automation. turn on
play some country music.	MEDIACONTROL	play_media	media control. play media
cancel my alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
set a timer for 8 minutes.	ALARM	set_timer	alarm. set timer
turn off the light.	HOMEAUTOMATION	turn_off	home automation. turn off
call mom.	COMMUNICATION	make_call	communication. make call
play bruno mars.	MEDIACONTROL	play_media	media control. play media
wake me up at 7 am.	ALARM	set_alarm	alarm. set alarm
turn on Living room light.	HOMEAUTOMATION	turn_on	home automation. turn on
set a timer for one hour.	ALARM	set_timer	alarm. set timer
set a timer for 25 minutes.	ALARM	set_timer	alarm. set timer
turn off the bedroom lights.	HOMEAUTOMATION	turn_off	home automation. turn off
turn off my lights.	HOMEAUTOMATION	turn_off	home automation. turn off
continue playing.	MEDIACONTROL	resume	media control. resume
can you play?	MEDIACONTROL	play_media	media control. play media
replay.	MEDIACONTROL	repeat	media control. repeat
play imagine dragons.	MEDIACONTROL	play_media	media control. play media
turn on the bedroom light.	HOMEAUTOMATION	turn_on	home automation. turn on
xbox on.	ONDEVICE	open_application	on device. open application
set alarm for 7 am.	ALARM	set_alarm	alarm. set alarm
tell me the news.	MEDIACONTROL	play_news	media control. play news
what's today's weather?	WEATHER	weather_default	weather. weather default
what's the temperature out?	WEATHER	weather_default	weather. weather default
turn the alarm off.	ALARM	turn_off_alarm	alarm. turn off alarm
continue music.	MEDIACONTROL	resume	media control. resume
timer off.	ALARM	turn_off_timer	alarm. turn off timer
set timer for 20 minutes.	ALARM	set_timer	alarm. set timer
set an alarm.	ALARM	set_alarm	alarm. set alarm
watch tv.	OTHER	other	other. other
hi cortana.	OTHER	other	other. other
who sings this song?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
what's the weather right now?	WEATHER	weather_default	weather. weather default
turn off bedroom lights.	HOMEAUTOMATION	turn_off	home automation. turn off
please.	COMMON	help	common. help
resume the music.	MEDIACONTROL	resume	media control. resume
play taylor swift.	MEDIACONTROL	play_media	media control. play media
set a timer for 7 minutes.	ALARM	set_timer	alarm. set timer
turn off the radio.	MEDIACONTROL	stop	media control. stop
set alarm.	ALARM	set_alarm	alarm. set alarm
turn volume down.	MEDIACONTROL	volume_down	media control. volume down
what day is it?	OTHER	other	other. other
cancel the alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
stop it.	COMMON	stop	common. stop
quiet.	COMMON	stop	common. stop
continue playing music.	MEDIACONTROL	resume	media control. resume
play some smooth jazz.	MEDIACONTROL	play_media	media control. play media
play frank sinatra.	MEDIACONTROL	play_media	media control. play media
play relaxing music.	MEDIACONTROL	play_media	media control. play media
set a timer for 6 minutes.	ALARM	set_timer	alarm. set timer
turn on the light.	HOMEAUTOMATION	turn_on	home automation. turn on
play again.	MEDIACONTROL	repeat	media control. repeat
what's the latest news?	OTHER	other	other. other
set a timer for 12 minutes.	ALARM	set_timer	alarm. set timer
play The Beatles.	MEDIACONTROL	play_media	media control. play media
can you play some music?	MEDIACONTROL	play_media	media control. play media
play some jazz music.	MEDIACONTROL	play_media	media control. play media
skip track.	MEDIACONTROL	skip_forward	media control. skip forward
wake me up at 8 am.	ALARM	set_alarm	alarm. set alarm
open.	OTHER	other	other. other
what's playing?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
Music.	MEDIACONTROL	play_media	media control. play media
play that song again.	MEDIACONTROL	repeat	media control. repeat
what's in the news?	OTHER	other	other. other
turn on the kitchen lights.	HOMEAUTOMATION	turn_on	home automation. turn on
call.	COMMUNICATION	make_call	communication. make call
set alarm for 8 am.	ALARM	set_alarm	alarm. set alarm
what's the weather forecast for tomorrow?	WEATHER	weather_default	weather. weather default
turn the music down.	MEDIACONTROL	volume_down	media control. volume down
play todays hits.	MEDIACONTROL	play_media	media control. play media
turn on the bedroom lights.	HOMEAUTOMATION	turn_on	home automation. turn on
play despacito.	MEDIACONTROL	play_media	media control. play media
set timer for 30 minutes.	ALARM	set_timer	alarm. set timer
turn off please.	ONDEVICE	power_off	on device. power off
listen to.	MEDIACONTROL	play_media	media control. play media
ignore it.	COMMUNICATION	ignore_incoming	communication. ignore incoming
what song is playing?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
play mozart.	MEDIACONTROL	play_media	media control. play media
play spa music.	MEDIACONTROL	play_media	media control. play media
what's this song?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
what's the weather forecast for today?	WEATHER	weather_default	weather. weather default
play michael jackson.	MEDIACONTROL	play_media	media control. play media
time.	OTHER	other	other. other
dismiss.	COMMON	stop	common. stop
what's the temperature outside right now?	WEATHER	weather_default	weather. weather default
what's the forecast today?	WEATHER	weather_default	weather. weather default
turn alarm off.	ALARM	turn_off_alarm	alarm. turn off alarm
play Christmas classics.	MEDIACONTROL	play_media	media control. play media
turn off kitchen.	HOMEAUTOMATION	turn_off	home automation. turn off
stop the music please.	MEDIACONTROL	stop	media control. stop
volume 50%.	MEDIACONTROL	set_volume	media control. set volume
set alarm for 6:30 AM.	ALARM	set_alarm	alarm. set alarm
what does the goat say?	OTHER	other	other. other
set an alarm for 6:30 AM.	ALARM	set_alarm	alarm. set alarm
what is the time?	OTHER	other	other. other
turn on bedroom lights.	HOMEAUTOMATION	turn_on	home automation. turn on
stop playback.	MEDIACONTROL	stop	media control. stop
play me some music.	MEDIACONTROL	play_media	media control. play media
can you hear me?	OTHER	other	other. other
news.	OTHER	other	other. other
what's going on?	OTHER	other	other. other
wake me up at 6:30.	ALARM	set_alarm	alarm. set alarm
what's the news today?	OTHER	other	other. other
set a timer for 45 minutes.	ALARM	set_timer	alarm. set timer
what?	OTHER	other	other. other
set timer for 3 minutes.	ALARM	set_timer	alarm. set timer
are you there?	OTHER	other	other. other
volume.	MEDIACONTROL	check_volume	media control. check volume
turn on the living room light.	HOMEAUTOMATION	turn_on	home automation. turn on
what's the name of this song?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
shuffle.	MEDIACONTROL	shuffle_music	media control. shuffle music
set timer for 2 minutes.	ALARM	set_timer	alarm. set timer
play Christmas songs.	MEDIACONTROL	play_media	media control. play media
turn off the living room light.	HOMEAUTOMATION	turn_off	home automation. turn off
raise the volume.	MEDIACONTROL	volume_up	media control. volume up
play coldplay.	MEDIACONTROL	play_media	media control. play media
turn on kitchen lights.	HOMEAUTOMATION	turn_on	home automation. turn on
play holiday music.	MEDIACONTROL	play_media	media control. play media
turn down the music.	MEDIACONTROL	volume_down	media control. volume down
repeat.	COMMON	repeat	common. repeat
turn lights off.	HOMEAUTOMATION	turn_off	home automation. turn off
please stop.	COMMON	stop	common. stop
increase the volume.	MEDIACONTROL	volume_up	media control. volume up
how is the weather today?	WEATHER	weather_default	weather. weather default
yes please.	COMMON	confirm	common. confirm
keep playing.	MEDIACONTROL	resume	media control. resume
play adele.	MEDIACONTROL	play_media	media control. play media
set an alarm for 9 am.	ALARM	set_alarm	alarm. set alarm
listen.	OTHER	other	other. other
skip to the next song.	MEDIACONTROL	skip_forward	media control. skip forward
set a reminder.	REMINDER	create_single_reminder	reminder. create single reminder
turn off living room light.	HOMEAUTOMATION	turn_off	home automation. turn off
set an alarm for 7:30 AM.	ALARM	set_alarm	alarm. set alarm
how are you doing?	OTHER	other	other. other
how much time left on the timer?	ALARM	time_remaining	alarm. time remaining
set a timer for 40 minutes.	ALARM	set_timer	alarm. set timer
resume play.	MEDIACONTROL	resume	media control. resume
turn on music.	MEDIACONTROL	play_media	media control. play media
i'm home.	OTHER	other	other. other
turn on kitchen.	HOMEAUTOMATION	turn_on	home automation. turn on
play some classic rock.	MEDIACONTROL	play_media	media control. play media
dim the lights.	HOMEAUTOMATION	turn_down	home automation. turn down
change song.	MEDIACONTROL	skip_forward	media control. skip forward
play piano music.	MEDIACONTROL	play_media	media control. play media
temperature.	OTHER	other	other. other
play soft rock.	MEDIACONTROL	play_media	media control. play media
how you doing?	OTHER	other	other. other
turn my lights on.	HOMEAUTOMATION	turn_on	home automation. turn on
what is this song?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
play dance music.	MEDIACONTROL	play_media	media control. play media
play 90s music.	MEDIACONTROL	play_media	media control. play media
play drake.	MEDIACONTROL	play_media	media control. play media
turn the timer off.	ALARM	turn_off_timer	alarm. turn off timer
snooze for 10 minutes.	ALARM	snooze	alarm. snooze
open alexa.	OTHER	other	other. other
what time is my alarm set for?	ALARM	find_alarm	alarm. find alarm
turn on all lights.	HOMEAUTOMATION	turn_on	home automation. turn on
what's the date today?	OTHER	other	other. other
turn volume up.	MEDIACONTROL	volume_up	media control. volume up
how is the weather?	WEATHER	weather_default	weather. weather default
what can you do?	OTHER	other	other. other
play Christmas jazz.	MEDIACONTROL	play_media	media control. play media
what's the temperature tomorrow?	WEATHER	weather_default	weather. weather default
play maroon 5.	MEDIACONTROL	play_media	media control. play media
tell me a story.	OTHER	other	other. other
play hip hop.	MEDIACONTROL	play_media	media control. play media
play it again.	MEDIACONTROL	repeat	media control. repeat
ignore.	COMMUNICATION	ignore_incoming	communication. ignore incoming
tell me a funny quote.	OTHER	other	other. other
good evening.	OTHER	other	other. other
what's on my calendar today?	CALENDAR	find_calendar_entry	calendar. find calendar entry
play Thunder.	MEDIACONTROL	play_media	media control. play media
set alarm for 5 am.	ALARM	set_alarm	alarm. set alarm
unmute.	MEDIACONTROL	unmute	media control. unmute
set an alarm for 8:30 AM.	ALARM	set_alarm	alarm. set alarm
play song.	MEDIACONTROL	play_media	media control. play media
play country.	MEDIACONTROL	play_media	media control. play media
turn off the kitchen lights.	HOMEAUTOMATION	turn_off	home automation. turn off
wake me up at 6:30 AM.	ALARM	set_alarm	alarm. set alarm
who sings this?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
what time is it now?	OTHER	other	other. other
is it gonna rain today?	WEATHER	weather_default	weather. weather default
wake me up at 7:30.	ALARM	set_alarm	alarm. set alarm
set an alarm for 5 am.	ALARM	set_alarm	alarm. set alarm
what's your name?	OTHER	other	other. other
skip this.	MEDIACONTROL	skip_forward	media control. skip forward
what's the weather like right now?	WEATHER	weather_default	weather. weather default
turn my lights off.	HOMEAUTOMATION	turn_off	home automation. turn off
repeat this song.	MEDIACONTROL	repeat	media control. repeat
wake up.	ALARM	set_alarm	alarm. set alarm
is it?	OTHER	other	other. other
what does the fox say?	OTHERSKILL	otherskill_default	other skill. otherskill default
play jack johnson.	MEDIACONTROL	play_media	media control. play media
play michael buble.	MEDIACONTROL	play_media	media control. play media
what's on my calendar?	CALENDAR	find_calendar_entry	calendar. find calendar entry
surprise me.	OTHER	other	other. other
turn on all the lights.	HOMEAUTOMATION	turn_on	home automation. turn on
add.	OTHER	other	other. other
call dad.	COMMUNICATION	make_call	communication. make call
stop please.	COMMON	stop	common. stop
set an alarm for.	ALARM	set_alarm	alarm. set alarm
switch off.	ONDEVICE	power_off	on device. power off
wake me up at 5 am.	ALARM	set_alarm	alarm. set alarm
play post Malone.	MEDIACONTROL	play_media	media control. play media
play jingle Bell rock.	MEDIACONTROL	play_media	media control. play media
goodbye.	OTHER	other	other. other
set a timer.	ALARM	set_timer	alarm. set timer
what is the current temperature?	WEATHER	weather_default	weather. weather default
set.	OTHER	other	other. other
play Jingle Bells.	MEDIACONTROL	play_media	media control. play media
play Chris Stapleton.	MEDIACONTROL	play_media	media control. play media
what's the date?	OTHER	other	other. other
hey cortona.	OTHERSKILL	otherskill_default	other skill. otherskill default
play let it go.	MEDIACONTROL	play_media	media control. play media
what's new?	OTHER	other	other. other
play a song.	MEDIACONTROL	play_media	media control. play media
hey cortana what time is it.	OTHER	other	other. other
what is the weather tomorrow?	WEATHER	weather_default	weather. weather default
up.	OTHER	other	other. other
alexa.	ONDEVICE	open_application	on device. open application
volume 50.	MEDIACONTROL	set_volume	media control. set volume
turn on the kitchen light.	HOMEAUTOMATION	turn_on	home automation. turn on
turn off kitchen lights.	HOMEAUTOMATION	turn_off	home automation. turn off
how's the weather tomorrow?	WEATHER	weather_default	weather. weather default
play some pop music.	MEDIACONTROL	play_media	media control. play media
power down.	ONDEVICE	power_off	on device. power off
what's the weather tonight?	WEATHER	weather_default	weather. weather default
play my spotify.	MEDIACONTROL	play_media	media control. play media
how much time left?	ALARM	time_remaining	alarm. time remaining
set alarm for 7:30 AM.	ALARM	set_alarm	alarm. set alarm
set a 10 minute timer.	ALARM	set_timer	alarm. set timer
play meditation music.	MEDIACONTROL	play_media	media control. play media
play bob marley.	MEDIACONTROL	play_media	media control. play media
wake me up at 5:30.	ALARM	set_alarm	alarm. set alarm
play led zeppelin.	MEDIACONTROL	play_media	media control. play media
will it rain today?	WEATHER	weather_default	weather. weather default
who's gonna win the superbowl?	OTHER	other	other. other
wake me up at 9 am.	ALARM	set_alarm	alarm. set alarm
who am i?	OTHER	other	other. other
xbox off.	ONDEVICE	power_off	on device. power off
tell a joke.	OTHER	other	other. other
play Sam Smith.	MEDIACONTROL	play_media	media control. play media
shut the f*** **.	OTHER	other	other. other
skip that song.	MEDIACONTROL	skip_forward	media control. skip forward
play top hits.	MEDIACONTROL	play_media	media control. play media
turn up the lights.	HOMEAUTOMATION	turn_up	home automation. turn up
what's on my schedule today?	CALENDAR	find_calendar_entry	calendar. find calendar entry
happy new year.	OTHER	other	other. other
turn off the kitchen light.	HOMEAUTOMATION	turn_off	home automation. turn off
play the greatest showman.	MEDIACONTROL	play_media	media control. play media
shut off alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
wake me up at 7.	ALARM	set_alarm	alarm. set alarm
play some relaxing music.	MEDIACONTROL	play_media	media control. play media
how's the weather outside?	WEATHER	weather_default	weather. weather default
play enya.	MEDIACONTROL	play_media	media control. play media
i'm.	OTHER	other	other. other
set an alarm for 5:30 AM.	ALARM	set_alarm	alarm. set alarm
what's tomorrow's weather?	WEATHER	weather_default	weather. weather default
wake me up at 6.	ALARM	set_alarm	alarm. set alarm
turn on Living Room lamp.	HOMEAUTOMATION	turn_on	home automation. turn on
what temperature is it?	WEATHER	weather_default	weather. weather default
can you play music?	MEDIACONTROL	play_media	media control. play media
are you awake?	OTHER	other	other. other
turn the music up.	MEDIACONTROL	volume_up	media control. volume up
play perfect by Ed Sheeran.	MEDIACONTROL	play_media	media control. play media
sing happy birthday.	OTHER	other	other. other
how old are you?	OTHER	other	other. other
replay that song.	MEDIACONTROL	repeat	media control. repeat
volume 30%.	MEDIACONTROL	set_volume	media control. set volume
tell me a fun fact.	OTHER	other	other. other
please turn off.	ONDEVICE	power_off	on device. power off
play pandora.	MEDIACONTROL	play_media	media control. play media
set a timer for 9 minutes.	ALARM	set_timer	alarm. set timer
are you connected to the internet?	OTHER	other	other. other
turn timer off.	ALARM	turn_off_timer	alarm. turn off timer
no thank you.	COMMON	reject	common. reject
turn off Bluetooth.	ONDEVICE	turn_off_setting	on device. turn off setting
play next track.	MEDIACONTROL	skip_forward	media control. skip forward
play KEXP.	MEDIACONTROL	play_media	media control. play media
turn lights on.	HOMEAUTOMATION	turn_on	home automation. turn on
set my alarm for 6 am.	ALARM	set_alarm	alarm. set alarm
turn off the living room.	HOMEAUTOMATION	turn_off	home automation. turn off
tell me a space fact.	OTHER	other	other. other
unpause.	MEDIACONTROL	resume	media control. resume
play some 80s music.	MEDIACONTROL	play_media	media control. play media
play beethoven.	MEDIACONTROL	play_media	media control. play media
what's today's forecast?	WEATHER	weather_default	weather. weather default
stop that.	COMMON	stop	common. stop
play today's hits.	MEDIACONTROL	play_media	media control. play media
what's the weather gonna be tomorrow?	WEATHER	weather_default	weather. weather default
what day is today?	OTHER	other	other. other
set an alarm for 10 am.	ALARM	set_alarm	alarm. set alarm
play Thunder by imagine dragons.	MEDIACONTROL	play_media	media control. play media
sure.	OTHER	other	other. other
how's it going?	OTHER	other	other. other
turn down volume.	MEDIACONTROL	volume_down	media control. volume down
play the radio.	MEDIACONTROL	play_media	media control. play media
play disney music.	MEDIACONTROL	play_media	media control. play media
bye.	OTHER	other	other. other
play justin timberlake.	MEDIACONTROL	play_media	media control. play media
turn up volume.	MEDIACONTROL	volume_up	media control. volume up
play 70s music.	MEDIACONTROL	play_media	media control. play media
play easy listening music.	MEDIACONTROL	play_media	media control. play media
give me an animal fact.	OTHER	other	other. other
play today's top hits.	MEDIACONTROL	play_media	media control. play media
previous song.	MEDIACONTROL	skip_back	media control. skip back
search.	OTHER	other	other. other
turn on the living room.	HOMEAUTOMATION	turn_on	home automation. turn on
will it rain tomorrow?	WEATHER	weather_default	weather. weather default
what temperature is it outside?	WEATHER	weather_default	weather. weather default
set alarm for 9 am.	ALARM	set_alarm	alarm. set alarm
play pink floyd.	MEDIACONTROL	play_media	media control. play media
play some music please.	MEDIACONTROL	play_media	media control. play media
play the song.	MEDIACONTROL	play_media	media control. play media
turn.	OTHER	other	other. other
